Job Title,Company Name,Posted Date,Tech Stack
API Software Engineer – Mid/Senior,M2M Services,11 окт.,"Git, JavaScript, MariaDB, MySQL, SQL"
Software Developer,Milestone Systems Bulgaria,11 окт.,"Cypress, English, Git, JavaScript, Jest, React, Redux"
Full -Stack Developer (Next.js/ Spring Boot),Commerzbank Digital Technology Center,11 окт.,"Docker, English, Java, JavaScript, Next.js, React, Spring Boot"
Front End Developer (GovTech sphere),Coherent Solutions,11 окт.,"Angular, AWS, English, JavaScript, SQL, TypeScript"
Front End Developer (Food Delivery sphere),Coherent Solutions,11 окт.,"English, JavaScript, React, Redux, TypeScript"
Senior/Lead Software Engineer,IBM Bulgaria,10 окт.,"Angular, Ansible, AWS, Azure, Chef, Docker, GitHub"
SENIOR FULL-STACK DEVELOPER,LeverX,10 окт.,"Docker, English, Gradle, Java, JavaScript, JSON, Kubernetes"
React/React Native Engineer,Trading 212,10 окт.,"JavaScript, React, React Native"
Software Engineer,Payhawk,9 окт.,"Docker, Google Cloud, Kafka, Kubernetes, Node.js, PlantUML, PostgreSQL"
Front-End Development Team Lead (Contact Center team),RingCentral,9 окт.,"Angular, JavaScript, React, TypeScript"
Full Stack Developer (React/PHP),Yotpo,8 окт.,"CakePHP, CSS3, Docker, HTML5, JavaScript, Kubernetes, Laravel"
(Senior) Frontend Software Developer – eJustice,Westernacher Solutions,8 окт.,"Angular, English, German, JavaScript, TypeScript"
Middle/Senior Frontend Developer,Devexperts,8 окт.,"English, JavaScript, Jest, Next.js, React, TypeScript"
Software Engineer,Bede Gaming,7 окт.,".NET, Angular, Azure, C#, GitHub, Kubernetes, MongoDB"
MIDDLE FULL-STACK DEVELOPER,LeverX,7 окт.,"Docker, English, Git, Hibernate, Java, JavaScript, Kubernetes"
Senior Frontend Developer (Billing team),RingCentral,7 окт.,"English, JavaScript, React, TypeScript, Webpack"
Senior Front-End Developer,OfficeRnD,7 окт.,"React, Redux, Sass, TypeScript"
